epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,34895.9,1.42501,1.82255,1.01556,5.10388,0.00432,6.30171,0.61953,0.78789,0.75613,0.6164,0.61953,0.78789,0.75613,0.75573,0.71523,0.05935,0.28889,0.85674,0.00258,0,0.00998715,0.00332905,0.00998715,0.00332905,0.00998715,0.00332905,0.00998715,0.00332905
2,35175.9,0.90494,0.2817,0.31309,1.28356,0.00225,1.4367,0.94704,0.94361,0.98405,0.8323,0.94704,0.94361,0.98405,0.9823,0.6558,0.10017,0.12698,0.34167,0.00237,0,0.0197893,0.00659642,0.0197893,0.00659642,0.0197893,0.00659642,0.0197893,0.00659642
3,35451.7,0.84785,0.21623,0.26952,0.60436,0.00206,1.19995,0.95766,0.95969,0.9909,0.84338,0.95766,0.95969,0.9909,0.99027,0.6143,0.06417,0.12509,0.29114,0.0021,0,0.0293934,0.0097978,0.0293934,0.0097978,0.0293934,0.0097978,0.0293934,0.0097978
4,35721.4,0.77907,0.16896,0.24993,0.42246,0.00185,0.54951,0.97013,0.96449,0.99168,0.83458,0.97013,0.96449,0.99168,0.99154,0.66487,0.04332,0.10907,0.30488,0.00244,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,35990.5,0.71187,0.12782,0.21579,0.33721,0.00161,-0.20743,0.97823,0.98331,0.9932,0.88197,0.97823,0.98331,0.9932,0.99319,0.51312,0.02505,0.09905,0.19645,0.00173,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,36260.5,0.68166,0.10974,0.19837,0.30231,0.00152,-0.66736,0.98194,0.98388,0.99411,0.89548,0.98194,0.98388,0.99411,0.9941,0.47815,0.02211,0.08626,0.17933,0.00161,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,36535.1,0.64767,0.09257,0.1759,0.27145,0.00143,-1.00071,0.97832,0.98034,0.99328,0.89099,0.97832,0.98034,0.9933,0.99323,0.49592,0.02651,0.07326,0.19026,0.00169,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,36808.1,0.63248,0.0878,0.15893,0.26687,0.00139,-1.2209,0.98357,0.99116,0.9945,0.8879,0.98357,0.99116,0.9945,0.99448,0.49784,0.02069,0.07532,0.17151,0.00168,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,37079.7,0.61244,0.08164,0.15454,0.24325,0.00132,-1.47408,0.99138,0.98814,0.99479,0.91125,0.99138,0.98814,0.99479,0.99478,0.44854,0.02102,0.0705,0.15033,0.0015,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,37351.3,0.59699,0.06904,0.14093,0.23809,0.00129,-1.5942,0.98952,0.99298,0.99472,0.90635,0.98952,0.99298,0.99472,0.99471,0.45912,0.02247,0.06094,0.1513,0.00153,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,37624.6,0.57809,0.07119,0.13397,0.2334,0.00125,-1.71314,0.98966,0.99066,0.99476,0.91067,0.98966,0.99066,0.99476,0.99476,0.43064,0.02037,0.06374,0.15001,0.00144,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,37894.1,0.56196,0.05881,0.12487,0.21943,0.00119,-1.89258,0.99299,0.99172,0.9948,0.91825,0.99299,0.99172,0.9948,0.99479,0.42155,0.01703,0.05566,0.14338,0.00142,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,38165.4,0.55515,0.06762,0.12266,0.21973,0.00119,-1.89923,0.99225,0.99281,0.9949,0.91264,0.99225,0.99281,0.9949,0.99489,0.43591,0.01762,0.0528,0.14035,0.00148,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,38433.9,0.54853,0.0593,0.11826,0.21362,0.00117,-1.96823,0.99155,0.99441,0.99488,0.92657,0.99155,0.99441,0.99488,0.99488,0.39782,0.01592,0.05185,0.13289,0.00133,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,38705,0.54799,0.06392,0.11561,0.21256,0.00118,-2.0459,0.99115,0.99044,0.99487,0.92568,0.99115,0.99044,0.99487,0.99487,0.4017,0.01645,0.04867,0.13529,0.00134,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,38972.5,0.52926,0.06141,0.11602,0.20199,0.00113,-2.17069,0.99576,0.99354,0.99491,0.92751,0.99576,0.99354,0.99491,0.99491,0.39402,0.01802,0.04627,0.12837,0.00131,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,39243.7,0.52978,0.05613,0.11207,0.2041,0.00113,-2.23152,0.99323,0.9928,0.99492,0.92945,0.99323,0.9928,0.99492,0.99492,0.38899,0.01608,0.04654,0.12892,0.0013,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,39516.1,0.52264,0.05572,0.10816,0.20512,0.00112,-2.27291,0.99155,0.99272,0.9948,0.92471,0.99155,0.99272,0.9948,0.9948,0.39861,0.01549,0.05258,0.13337,0.00134,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,39788.5,0.51389,0.04837,0.10416,0.19073,0.00108,-2.38143,0.99052,0.99546,0.99481,0.92694,0.99052,0.99546,0.99481,0.9948,0.38524,0.01753,0.04981,0.13041,0.00129,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,40061.3,0.51611,0.05198,0.10205,0.19841,0.00109,-2.41184,0.99326,0.99405,0.99476,0.93159,0.99326,0.99405,0.99476,0.99476,0.3797,0.01783,0.04732,0.12477,0.00127,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,40333.8,0.50739,0.04715,0.10329,0.18964,0.00109,-2.46845,0.99676,0.99271,0.99496,0.92754,0.99676,0.99271,0.99496,0.99496,0.40207,0.0148,0.04986,0.12664,0.00134,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,40604.8,0.49954,0.04686,0.1018,0.18974,0.00106,-2.5461,0.99386,0.99541,0.99494,0.93559,0.99386,0.99541,0.99494,0.99494,0.37331,0.01565,0.04364,0.12163,0.00125,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,40881.9,0.4954,0.04678,0.09861,0.18627,0.00106,-2.5703,0.99497,0.99371,0.99494,0.93381,0.99497,0.99371,0.99494,0.99494,0.38262,0.01451,0.04716,0.12408,0.00128,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,41153.8,0.49569,0.05135,0.09656,0.18543,0.00104,-2.59008,0.99279,0.99355,0.9949,0.93111,0.99279,0.99355,0.9949,0.9949,0.37945,0.0143,0.04186,0.12571,0.00127,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,41428,0.48945,0.04564,0.09617,0.18099,0.00103,-2.69266,0.99385,0.99382,0.99495,0.93362,0.99385,0.99382,0.99495,0.99495,0.37746,0.0135,0.05533,0.12176,0.00126,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,41701.2,0.49009,0.04665,0.09796,0.18876,0.00103,-2.76973,0.99213,0.9883,0.99487,0.93006,0.99213,0.9883,0.99487,0.99487,0.36997,0.01235,0.05037,0.14257,0.00124,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,41976.5,0.4903,0.04547,0.09669,0.18175,0.00103,-2.81025,0.99709,0.992,0.99497,0.93193,0.99709,0.992,0.99497,0.99497,0.38241,0.0119,0.04859,0.12237,0.00128,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,42250.5,0.49125,0.04837,0.09803,0.17943,0.00102,-2.94094,0.99253,0.991,0.99489,0.93454,0.99253,0.991,0.99489,0.99489,0.37148,0.01161,0.04235,0.12417,0.00123,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,42523.8,0.4737,0.04085,0.09152,0.17334,0.001,-2.99949,0.99665,0.99467,0.99493,0.93575,0.99665,0.99467,0.99493,0.99493,0.37033,0.0117,0.04827,0.11964,0.00123,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,42795.1,0.47816,0.04206,0.08947,0.179,0.001,-3.01831,0.99326,0.99323,0.99493,0.93659,0.99326,0.99323,0.99493,0.99493,0.36641,0.01196,0.04562,0.12103,0.00122,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,43067.7,0.48033,0.04336,0.08746,0.17651,0.001,-3.07034,0.9916,0.99516,0.99497,0.93857,0.9916,0.99516,0.99497,0.99497,0.36567,0.01149,0.04434,0.12005,0.00122,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,43342.5,0.47486,0.04041,0.08389,0.175,0.00099,-3.06839,0.99627,0.99577,0.99497,0.9401,0.99627,0.99577,0.99497,0.99497,0.36029,0.01087,0.03921,0.11349,0.0012,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,43611.6,0.47121,0.036,0.08368,0.1735,0.00098,-3.13669,0.99567,0.99343,0.99497,0.94237,0.99567,0.99343,0.99497,0.99496,0.35663,0.01082,0.04372,0.11491,0.0012,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,43883.8,0.47104,0.03997,0.08666,0.16922,0.00099,-3.12827,0.9943,0.99596,0.99498,0.93879,0.9943,0.99596,0.99498,0.99498,0.36544,0.01106,0.04217,0.11525,0.00123,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,44154.6,0.46374,0.03919,0.08332,0.17131,0.00097,-3.21117,0.996,0.99443,0.99497,0.94074,0.996,0.99443,0.99497,0.99497,0.35442,0.01055,0.04312,0.11664,0.00118,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,44422.8,0.46422,0.03745,0.08125,0.16911,0.00096,-3.27379,0.99518,0.99643,0.99499,0.94199,0.99518,0.99643,0.99499,0.99499,0.35082,0.01044,0.03647,0.11147,0.00117,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,44699.4,0.45358,0.03351,0.08202,0.16466,0.00095,-3.27664,0.99282,0.99762,0.99496,0.9396,0.99282,0.99762,0.99496,0.99496,0.36465,0.01038,0.03918,0.11586,0.00122,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,44972.6,0.46008,0.0389,0.07827,0.16432,0.00096,-3.2871,0.99545,0.99743,0.99499,0.94431,0.99545,0.99743,0.99499,0.99499,0.34546,0.01034,0.04112,0.10983,0.00115,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,45247,0.45645,0.03772,0.07959,0.16466,0.00095,-3.30794,0.99455,0.99583,0.99497,0.94659,0.99455,0.99583,0.99497,0.99497,0.34743,0.01009,0.04203,0.11069,0.00116,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,45521.1,0.46191,0.03699,0.07703,0.16579,0.00095,-3.36201,0.99588,0.9964,0.99499,0.94939,0.99588,0.9964,0.99499,0.99499,0.34048,0.00987,0.03784,0.10832,0.00113,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,45793.8,0.45604,0.03587,0.07618,0.16557,0.00095,-3.40645,0.99682,0.99534,0.99499,0.94731,0.99682,0.99534,0.99499,0.99499,0.34522,0.01023,0.03736,0.10922,0.00115,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,46063.9,0.45687,0.03671,0.07734,0.16598,0.00095,-3.41884,0.99558,0.99815,0.99499,0.9469,0.99558,0.99815,0.99499,0.99499,0.34211,0.00971,0.03758,0.108,0.00114,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,46335.8,0.4449,0.03326,0.07153,0.15897,0.00092,-3.483,0.99678,0.99476,0.99499,0.9458,0.99678,0.99476,0.99499,0.99499,0.34403,0.00966,0.0383,0.11023,0.00115,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,46607,0.4457,0.03248,0.0753,0.15972,0.00093,-3.46879,0.99734,0.99542,0.99499,0.94821,0.99734,0.99542,0.99499,0.99499,0.33865,0.00965,0.03581,0.10768,0.00113,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,46884,0.4474,0.0353,0.07052,0.16245,0.00092,-3.53266,0.99564,0.99439,0.99496,0.94683,0.99564,0.99439,0.99496,0.99496,0.34263,0.00997,0.03289,0.11165,0.00114,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,47161.6,0.44442,0.03167,0.07142,0.15746,0.00093,-3.49584,0.99757,0.99695,0.99499,0.94765,0.99757,0.99695,0.99499,0.99499,0.34312,0.00944,0.03776,0.10839,0.00115,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,47433,0.44252,0.03558,0.06875,0.16641,0.00093,-3.51412,0.995,0.99535,0.99497,0.94598,0.995,0.99535,0.99497,0.99497,0.34291,0.00936,0.03488,0.11379,0.00115,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,47704.4,0.43559,0.02778,0.0677,0.16322,0.0009,-3.5952,0.99602,0.99601,0.99498,0.94756,0.99602,0.99601,0.99498,0.99498,0.33701,0.00942,0.03448,0.10847,0.00112,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
